Year,Anomaly
1851,-0.04
1852,0.01
1853,0.06
1854,0.01
1855,0.0
1856,0.03
1857,-0.11
1858,-0.13
1859,-0.08
1860,0.04
1861,-0.09
1862,-0.11
1863,-0.14
1864,-0.06
1865,0.0
1866,0.07
1867,0.05
1868,-0.04
1869,0.04
1870,0.02
1871,-0.02
1872,0.02
1873,-0.03
1874,-0.07
1875,-0.12
1876,-0.02
1877,-0.06
1878,0.27
1879,0.17
1880,0.03
1881,-0.02
1882,0.06
1883,0.02
1884,-0.04
1885,-0.13
1886,-0.16
1887,-0.18
1888,-0.18
1889,0.02
1890,-0.03
1891,-0.24
1892,-0.08
1893,-0.15
1894,-0.19
1895,-0.2
1896,-0.1
1897,0.05
1898,-0.02
1899,-0.18
1900,-0.09
1901,-0.02
1902,-0.13
1903,-0.19
1904,-0.36
1905,-0.42
1906,-0.2
1907,-0.2
1908,-0.28
1909,-0.41
1910,-0.43
1911,-0.41
1912,-0.38
1913,-0.26
1914,-0.29
1915,-0.14
1916,-0.08
1917,-0.3
1918,-0.3
1919,-0.16
1920,-0.23
1921,-0.2
1922,-0.18
1923,-0.25
1924,-0.22
1925,-0.26
1926,-0.18
1927,-0.12
1928,-0.16
1929,-0.22
1930,-0.26
1931,-0.12
1932,-0.1
1933,-0.19
1934,-0.23
1935,-0.16
1936,-0.17
1937,-0.13
1938,-0.03
1939,-0.12
1940,-0.01
1941,0.17
1942,0.27
1943,0.09
1944,0.07
1945,0.24
1946,0.21
1947,-0.06
1948,-0.07
1949,-0.1
1950,-0.08
1951,-0.09
1952,0.02
1953,0.06
1954,0.05
1955,-0.12
1956,-0.12
1957,-0.09
1958,0.11
1959,0.11
1960,0.06
1961,0.06
1962,0.08
1963,0.06
1964,0.08
1965,-0.09
1966,-0.02
1967,0.02
1968,-0.01
1969,0.05
1970,0.18
1971,0.06
1972,-0.06
1973,0.14
1974,0.12
1975,-0.01
1976,-0.03
1977,0.06
1978,0.19
1979,0.14
1980,0.28
1981,0.27
1982,0.26
1983,0.25
1984,0.31
1985,0.21
1986,0.18
1987,0.24
1988,0.39
1989,0.31
1990,0.28
1991,0.38
1992,0.33
1993,0.25
1994,0.26
1995,0.31
1996,0.33
1997,0.31
1998,0.49
1999,0.5
2000,0.3
2001,0.33
2002,0.46
2003,0.48
2004,0.5
2005,0.49
2006,0.48
2007,0.49
2008,0.38
2009,0.4
2010,0.54
2011,0.51
2012,0.41
2013,0.48
2014,0.52
2015,0.61
2016,0.75
2017,0.74
2018,0.69
2019,0.67
2020,0.75
2021,0.7
2022,0.64
2023,0.67
2024,0.94
